fecha_sintomas,sexo,total,total_prom_mov7,total_acumulado
2020-02-19,HOMBRE,1,1,1
2020-02-22,HOMBRE,2,1,3
2020-02-23,HOMBRE,1,1,4
2020-02-25,MUJER,1,1,1
2020-02-26,HOMBRE,1,1,5
2020-02-27,MUJER,2,1,3
2020-02-28,HOMBRE,2,1,7
2020-02-28,MUJER,1,1,4
2020-02-29,HOMBRE,3,1,10
2020-02-29,MUJER,2,1,6
2020-03-01,HOMBRE,3,1,13
2020-03-01,MUJER,8,2,14
2020-03-02,HOMBRE,7,2,20
2020-03-02,MUJER,12,4,26
2020-03-03,HOMBRE,9,3,29
2020-03-03,MUJER,10,5,36
2020-03-04,HOMBRE,8,4,37
2020-03-04,MUJER,7,6,43
2020-03-05,HOMBRE,8,5,45
2020-03-05,MUJER,4,6,47
2020-03-06,HOMBRE,11,7,56
2020-03-06,MUJER,5,6,52
2020-03-07,HOMBRE,13,8,69
2020-03-07,MUJER,8,7,60
2020-03-08,HOMBRE,15,10,84
2020-03-08,MUJER,14,8,74
2020-03-09,HOMBRE,38,14,122
2020-03-09,MUJER,31,11,105
2020-03-10,HOMBRE,30,17,152
2020-03-10,MUJER,30,14,135
2020-03-11,HOMBRE,40,22,192
2020-03-11,MUJER,24,16,159
2020-03-12,HOMBRE,51,28,243
2020-03-12,MUJER,43,22,202
2020-03-13,HOMBRE,65,36,308
2020-03-13,MUJER,47,28,249
2020-03-14,HOMBRE,69,44,377
2020-03-14,MUJER,37,32,286
2020-03-15,HOMBRE,69,51,446
2020-03-15,MUJER,50,37,336
2020-03-16,HOMBRE,85,58,531
2020-03-16,MUJER,62,41,398
2020-03-17,HOMBRE,83,66,614
2020-03-17,MUJER,65,46,463
2020-03-18,HOMBRE,71,70,685
2020-03-18,MUJER,83,55,546
2020-03-19,HOMBRE,82,74,767
2020-03-19,MUJER,56,57,602
2020-03-20,HOMBRE,132,84,899
2020-03-20,MUJER,95,64,697
2020-03-21,HOMBRE,94,88,993
2020-03-21,MUJER,64,67,761
2020-03-22,HOMBRE,104,93,1097
2020-03-22,MUJER,76,71,837
2020-03-23,HOMBRE,140,100,1237
2020-03-23,MUJER,123,80,960
2020-03-24,HOMBRE,125,106,1362
2020-03-24,MUJER,84,83,1044
2020-03-25,HOMBRE,136,116,1498
